Domain,BL,DP,ABY,ACR,Dmoz,C,N,O,D,Reg,RDT,Traffic,Valuation,Price,Bids,Endtime
NewlondonOhio.com,477,53,1998,344,Yes,registered,registered,registered,available,4,9,2.6 K,898 USD,"1,125 USD",136,8h 16m
1340.com,7,1,1999,92,-,registered,registered,registered,registered,41,627,43,"14,378 USD","6,500 USD",95,6h 28m
SnowBomb.com,2.3 K,62,2000,486,Yes,registered,available,available,available,4,10,0,"2,838 USD",532 USD,77,5h 18m
urle.com,0,0,2000,105,-,registered,registered,registered,registered,34,591,70,"6,930 USD","1,125 USD",62,7h 57m
Clip-Bucket.com,37.1 K,338,-,0,-,registered,available,available,available,2,2,0,941 USD,"1,525 USD",48,6h 8m
VoiceTech.com,8,1,1997,199,-,registered,registered,registered,registered,45,142,9,"10,445 USD","3,383 USD",48,8h 9m
BackToBlissWellness.com,5.8 K,4,2011,70,-,registered,available,available,available,1,2,464,461 USD,355 USD,46,4h 36m
FarmGarden.com,0,0,2000,68,-,registered,registered,registered,registered,22,104,2,"7,899 USD",797 USD,46,7h 53m
TrulyHealthy.com,1,2,2000,32,-,registered,registered,registered,registered,14,42,0,"4,613 USD",665 USD,39,4h 0m
FairwayHomes.com,31,11,1997,219,Yes,registered,registered,available,registered,8,16,15,"4,333 USD",281 USD,36,8h 5m
yy58.com,1,1,2003,170,-,registered,registered,available,available,12,79,20,"1,363 USD",314 USD,35,8h 24m
ProfitQuery.com,601.2 K,1.7 K,2013,259,-,registered,available,available,available,2,2,0,"1,473 USD","1,025 USD",31,4h 34m
EarlyVoting.net,1.7 K,85,-,0,Yes,registered,registered,registered,available,16,107,115,778 USD,"1,525 USD",30,6h 30m
cwca.com,2,0,1996,71,-,registered,registered,registered,registered,21,367,9,"4,984 USD",563 USD,27,4h 19m
AirRail.com,1,1,-,0,-,registered,registered,registered,registered,19,56,0,"4,846 USD",360 USD,27,5h 47m
vsat-systems.com,386,42,-,0,Yes,registered,registered,available,available,2,0,73,919 USD,390 USD,27,8h 56m
hccdelhi.org,123,3,2016,61,-,available,available,registered,available,2,2,43,334 USD,305 USD,26,4h 16m
PlasticityLabs.com,20.9 K,64,2014,154,-,registered,available,available,available,1,2,0,"1,239 USD",275 USD,26,4h 19m
csrp.org,1.1 K,111,-,0,-,registered,registered,registered,registered,44,269,54,"1,511 USD",405 USD,24,5h 28m
ijptonline.com,696,53,2009,234,-,registered,available,available,available,1,2,199,401 USD,415 USD,23,8h 15m
LosangelesFreePress.com,3.1 K,59,1999,15186,-,registered,available,available,available,1,2,122,118 USD,"1,405 USD",21,3h 56m
www-255144.com,3.2 M,13.0 K,2019,53,-,registered,available,available,available,1,2,17,0 USD,92 USD,21,4h 16m
Investigation.net,10,3,2000,141,-,registered,registered,registered,registered,119,3.9 K,39,"7,662 USD",805 USD,20,6h 25m
WhiskyTours.com,0,0,2001,18,-,registered,registered,available,registered,10,42,2,"4,420 USD","1,425 USD",20,8h 19m
pisf.com,2,0,2002,316,-,registered,registered,registered,registered,12,149,4,"5,363 USD",255 USD,20,8h 34m
SmartDetail.com,0,0,2004,3,-,registered,registered,available,available,12,24,0,"3,435 USD",337 USD,18,4h 14m
TechnicalArt.com,0,0,2001,21,-,registered,registered,available,registered,9,41,2,"3,578 USD",138 USD,18,7h 30m
CactusLands.com,858,25,-,0,Yes,registered,available,available,available,1,5,126,"1,119 USD",95 USD,18,8h 7m
ZapStar.com,0,0,2001,19,-,registered,registered,registered,registered,8,16,30,"3,123 USD",256 USD,17,4h 51m
GreyGreyDesigns.com,1.0 K,45,2011,140,-,registered,available,available,available,1,2,0,804 USD,630 USD,17,5h 3m
HalftimeRec.com,442,28,2004,214,-,registered,registered,available,available,2,7,1.7 K,"1,348 USD","1,525 USD",17,8h 7m
adak-ak.us,390,20,2013,203,-,registered,available,registered,available,4,4,63,2 USD,125 USD,16,4h 3m
cmstrader.com,12.8 K,138,2013,177,-,registered,available,available,available,1,3,128,"1,416 USD",100 USD,15,4h 10m
