id,name,category,price
325352107,Домкрат Intertool гідравлічний підкатний 2 т висота підіймання 135-385 мм у кейсі (GT0109),Домкрати Intertool,2255
47383648,Домкрат Lavita LA 210215 1.5 т,Домкрати Lavita,590
1711002,Домкрат гідравлічний пляшковий Vitol 5 т валіза 216-413 мм 4.35 кг (T90504S ДБ-05004К),Домкрати Vitol,1399
325352113,"Домкрат Intertool ""стовпчик"" одноштоковий 2 т, 158-308 мм (GT0021)",Домкрати Intertool,599
359973576,Домкрат пляшковий Rock Force гідравлічний з клапаном у кейсі 195-395 мм 5 т (RF-T90504-S(DS)),Домкрати Rock Force,1184
34994303,Домкрат Lavita LA 210110 1 т,Домкрати Lavita,505
221145199,Домкрат Airkraft DPA-2RK 2.8 т пневматичний (DPA-2RK),Домкрати Airkraft,4800
188578328,Домкрат підкатний Vitol 2 т висота підйому 135-335 мм 9 кг (N42001 T82000СS),Домкрати Vitol,2709
17689698,Домкрат Torin 2 т (TA820014S),Домкрати Torin,2270
1710602,Домкрат механічний гвинтовий ромб Vitol з тріскачкою 1.5 т висота підйому 390 мм 2.7 кг (ST105B-1.5Т),Домкрати Vitol,789
34994319,Домкрат Lavita LA 210120 2 т,Домкрати Lavita,685
211363201,Домкрат Sigma 1 т (6119131),Домкрати Sigma,507
1710632,Домкрат механічний гвинтовий ромб Vitol 1.5 т висота підйому 390 мм 2.7 кг (ДВ-10105В ST-105B),Домкрати Vitol,689
34994231,Домкрат Lavita LA JNS-10 10 т,Домкрати Lavita,1185
17689878,Домкрат рейковий 3т (125-1330 мм) TRA8605 TORIN,Домкрати Torin,4129
1710347,Домкрат підкатний Vitol 2 т валіза висота підйому 128-300 мм 7 кг (TA82008S),Домкрати Vitol,2199
17689560,Домкрат пляшковий Torin 10 т 230-460 мм (T91004),Домкрати Torin,1895
34994215,Домкрат Lavita LA JNS-06 6 т з пластиковим кейсом,Домкрати Lavita,995
325352140,"Домкрат Intertool ""стовпчик"" 2-штоковий 4 т, 155-365 мм (GT0032)",Домкрати Intertool,1199
358187667,"Домкрат пляшковий Rock Force 16 т, 230- 460 мм, з клапаном (RF-T91604)",Домкрати Rock Force,2590
1710772,Домкрат гідравлічний пляшковий Iron Hand 10 т 185-350 мм 4.5 кг (ДБ-10002H),Домкрати Vitol,1459
71669829,Домкрат Lavita LA JNS-22 2 т,Домкрати Lavita,945
34994191,Домкрат Lavita LA JNS-05 5 т,Домкрати Lavita,750
188730501,Домкрат механічний гвинтовий ромб Vitol 2 т висота підйому 390 мм 3.2 кг (ST-113N ДВ-1132ТН) гумовий упор,Домкрати Vitol,999
1710957,Домкрат гідравлічний пляшковий Vitol 3 т валіза 194-372 мм 3.33 кг (T90304S),Домкрати Vitol,1255
4254430,Комплект підставок під машину Intertool GT0400 2 шт,Домкрати Intertool,1100
358187685,"Домкрат пляшковий Forcekraft 2 т, 148-278 мм, з клапаном + ремкомплект (FK-T90204 (DS))",Домкрати Forcekraft,599
188424503,Домкрат механічний гвинтовий ромб Штурмовик 1.5 т висота підйому 390 мм 2.7 кг (BBC-1500),Домкрати Штурмовик,625
188623324,Домкрат підкатний Vitol 3 т висота підйому 140-465 мм 28 кг (ДП-300028),Домкрати Vitol,5499
34994279,Домкрат Lavita LA JNS-50 50 т,Домкрати Lavita,3310
17689620,Домкрат Torin 4 т (TF0402),Домкрати Torin,2497
1710922,Домкрат гідравлічний пляшковий Vitol 2 т валізу 181-345 мм 2.63 кг (T90204S),Домкрати Vitol,859
153624647,"Комплект підставок під машину Torin 3 т, 288-425 мм 2 шт. (T43001)",Домкрати Torin,1798
71670681,Домкрат Lavita LA JNS-26 6 т,Домкрати Lavita,1710
34994103,Домкрат Lavita LA FJ-01 2 т з пластиковим кейсом,Домкрати Lavita,1440
332357572,Домкрат підкатний Rock Force 3 т гідравлічний у комплекті з гумовою накладкою (RF-T830025(NEW)),Домкрати Rock Force,5976
1710532,Домкрат механічний гвинтовий ромб Vitol з тріскачкою висота підйому 350 мм 2.7 кг (DB-T10103A),Домкрати Vitol,669
34994271,Домкрат Lavita LA JNS-32 32 т,Домкрати Lavita,2400
2429627,Домкрат гідравлічний пляшковий Vitol 2 т 2х ціліндовий 150-370 мм 5.3 кг (TF0202),Домкрати Vitol,1561
132367274,Домкрат Airkraft JP-2PRO 2.8 т пневматичний професійний,Домкрати Airkraft,4800
47383944,Домкрат Lavita LA 210220 2 т,Домкрати Lavita,755
34994151,Домкрат Lavita LA JNS-02 2 т з пластиковим кейсом,Домкрати Lavita,550
9346691,Домкрат Mastertool 86-0021,Домкрати Mastertool,516
